date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-04-19,"",SZ,"",268,"","","",180,15,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-20,"",SZ,"",272,"","","",180,15,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-21,"",SZ,"",276,"","","",192,16,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-22,"",SZ,"",282,"","","",194,16,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-23,"",SZ,"",282,"","","",198,16,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-24,"",SZ,"",284,"","","",206,16,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-25,"",SZ,"",287,"","","",215,17,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-26,"",SZ,"",293,"","","",216,18,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-27,"",SZ,"",293,"","","",216,18,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-28,"",SZ,"",295,"","","",223,20,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-29,"",SZ,"",295,"","","",224,20,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-04-30,"",SZ,"",302,"","","",239,20,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-01,"",SZ,"",303,"","","",242,21,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-02,"",SZ,"",304,"","","",246,21,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-03,"",SZ,"",304,"","","",248,21,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-04,"",SZ,"",305,"","","",248,21,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-05,"",SZ,"",305,"","","",252,22,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-06,"",SZ,"",305,"","","",258,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-07,"",SZ,"",305,"","","",264,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-08,"",SZ,"",305,"","","",267,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-09,"",SZ,"",306,"","","",268,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-11,"",SZ,"",306,"","","",272,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-12,"",SZ,"",306,"","","",277,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-13,"",SZ,"",306,"","","",277,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-14,"",SZ,"",307,"","","",280,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-15,"",SZ,"",307,"","","",280,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-16,"",SZ,"",307,"","","",281,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-18,"",SZ,"",307,"","","",281,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-19,"",SZ,"",307,"","","",281,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-20,"",SZ,"",307,"","","",282,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-21,"",SZ,"",307,"","","",283,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-22,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-23,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-25,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-26,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-27,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-28,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-29,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-05-30,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-02,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-03,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-04,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-05,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-06,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-08,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-09,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-10,"",SZ,"",307,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-11,"",SZ,"",308,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-12,"",SZ,"",308,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-18,"",SZ,"",308,"","","",284,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-19,"",SZ,"",309,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-21,"",SZ,"",309,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-22,"",SZ,"",313,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-23,"",SZ,"",313,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-24,"",SZ,"",316,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-25,"",SZ,"",317,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-26,"",SZ,"",320,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-27,"",SZ,"",323,"","","",285,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-29,"",SZ,"",328,"","","",286,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-06-30,"",SZ,"",328,"","","",288,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-01,"",SZ,"",332,"","","",290,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-02,"",SZ,"",336,"","","",293,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-03,"",SZ,"",339,"","","",293,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-04,"",SZ,"",342,"","","",293,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-06,"",SZ,"",342,"","","",293,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-07,"",SZ,"",349,"","","",293,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-08,"",SZ,"",353,"","","",301,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-09,"",SZ,"",356,"","","",301,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-10,"",SZ,"",358,"","","",306,23,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-23,"",SZ,"",382,"","","","","",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-07-30,"",SZ,"",401,"","","","","",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-04,"",SZ,"",408,"","","",358,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-05,"",SZ,"",411,"","","",362,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-06,"",SZ,"",416,"","","",363,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-07,"",SZ,"",416,"","","",365,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-10,"",SZ,"",416,"","","",367,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-11,"",SZ,"",427,"","","",375,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-12,"",SZ,"",429,"","","",384,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-13,"",SZ,"",431,"","","",386,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-14,"",SZ,"",432,"","","",390,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-17,"",SZ,"",439,"","","",393,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-18,"",SZ,"",439,"","","",393,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-19,"",SZ,"",451,"","","",399,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-20,"",SZ,"",452,"","","",400,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-21,"",SZ,"",459,"","","",404,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-24,"",SZ,"",464,"","","",409,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-25,"",SZ,"",474,"","","",416,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-26,"",SZ,"",479,"","","",420,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-27,"",SZ,"",484,"","","",421,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-28,"",SZ,"",484,"","","",423,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-08-31,"",SZ,"",492,"","","",432,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-02,"",SZ,"",493,"","","",441,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-03,"",SZ,"",494,"","","",445,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-04,"",SZ,"",496,"","","",454,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-07,"",SZ,"",508,"","","",460,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-08,"",SZ,"",511,"","","",464,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-09,"",SZ,"",512,"","","",466,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-10,"",SZ,"",518,"","","",470,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-11,"",SZ,"",524,"","","",474,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-14,"",SZ,"",535,"","","",481,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-15,"",SZ,"",536,"","","",484,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-16,"",SZ,"",541,"","","",486,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-17,"",SZ,"",544,"","","",490,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-18,"",SZ,"",544,"","","",492,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-21,"",SZ,"",551,"","","",506,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-22,"",SZ,"",551,"","","",513,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-23,"",SZ,"",556,"","","",515,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-24,"",SZ,"",564,"","","",515,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-25,"",SZ,"",565,"","","",518,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-28,"",SZ,"",570,"","","",522,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-29,"",SZ,"",573,"","","",525,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-09-30,"",SZ,"",584,"","","",526,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-01,"",SZ,"",593,"","","",531,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-02,"",SZ,"",602,"","","",533,"",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-07,"",SZ,"",714,"","","","","",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-09,"",SZ,"",839,"","","","","",https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-12,"",SZ,"",974,"","","",591,26,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-13,"",SZ,"",1029,"","","",611,27,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-14,"",SZ,"",1123,"","","",637,28,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
2020-10-15,"",SZ,"",1242,"","","",667,28,https://www.sz.ch/behoerden/information-medien/medienmitteilungen/coronavirus.html/72-416-412-1379-6948
